koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,is_exoplanet
0,0,0,0,5.28691996,135.85427,0.705,2.579,41.5,0.51,792.0,92.97,15.8,4900.0,4.602,0.741,1
0,0,0,0,22.4098677,147.38366,0.869,2.271,69.8,0.73,489.0,13.55,11.9,4900.0,4.602,0.741,1
0,0,0,0,9.286964466,135.9945,0.004,3.3649,691.7,2.1,762.0,79.68,251.9,5546.0,4.575,0.81,1
0,0,0,0,5.859935955,132.040528,0.049,4.0185,322.8,2.56,1246.0,569.5,186.7,6181.0,4.22,1.424,1
0,0,0,0,2.154911236,133.498613,0.113,3.1341,99.7,1.42,1740.0,2162.35,83.0,6181.0,4.22,1.424,1
0,0,0,0,8.13121389,137.99254,0.622,4.2386,111.8,1.58,1117.0,368.36,55.3,6181.0,4.22,1.424,1
0,0,0,0,289.864067,133.69719,0.856,7.565,529.1,2.34,257.0,1.03,57.4,5516.0,4.446,0.886,1
0,0,1,0,5.17968868,136.46144,1.203,3.7256,121.8,18.91,972.0,211.06,48.4,5761.0,4.548,0.815,0
0,0,0,0,84.6877524,150.57084,0.017,10.0248,347.7,3.37,611.0,32.96,95.1,6688.0,4.062,1.79,1
0,0,0,0,207.5829306,289.88311,0.84,7.0686,505.1,4.52,453.0,9.97,70.0,6688.0,4.062,1.79,1
0,0,1,1,0.828206212,135.722038,0.615,1.737,132.3,3.88,3274.0,27125.5,68.1,5812.0,3.598,3.227,0
0,0,0,0,65.7045275,137.44275,0.663,3.3104,636.1,2.78,472.0,11.72,70.4,5918.0,4.403,1.043,1
0,0,0,0,22.342964828,132.741641,0.031,6.66405,5612.8,9.99,785.0,89.61,1118.9,6181.0,4.234,1.331,1
0,0,0,0,10.423677439,138.009041,0.005,5.2257,777.3,3.72,1012.0,247.48,204.4,6181.0,4.234,1.331,1
0,0,0,0,54.31996151,161.239869,0.497,8.5858,1975.0,6.07,584.0,27.4,291.3,6181.0,4.234,1.331,1
0,0,0,0,3.743166733,131.61967,0.008,3.6888,126.3,1.5,1423.0,971.76,47.2,6181.0,4.234,1.331,1
0,1,0,0,4.885488596,134.2768785,0.361,5.16165,7458.4,16.66,1496.0,1182.79,2590.1,6036.0,3.968,1.909,1
0,0,0,0,6.790120801,138.088199,0.486,6.0437,2302.3,9.86,1434.0,998.97,526.1,6372.0,3.954,2.001,1
0,0,0,0,9.9664004,141.15324,0.966,5.0127,1619.0,16.89,1578.0,1466.1,125.9,6638.0,3.664,3.079,1
0,0,0,0,1.73513619,135.060047,0.045,2.2741,952.6,3.27,1554.0,1372.87,473.2,5751.0,4.391,1.071,1
0,0,1,0,4.06844957,132.27614,0.55,2.8349,79.8,0.98,1170.0,442.08,29.3,5751.0,4.391,1.071,1
0,0,0,0,14.91095177,141.336726,0.014,3.325,864.5,2.62,694.0,54.87,116.9,5650.0,4.5,0.899,1
0,0,0,0,2.508057497,135.000657,0.742,1.1134,1507.6,3.25,997.0,234.06,312.7,4780.0,4.597,0.761,1
0,0,0,0,8.981014925,136.649307,0.097,1.8478,1059.3,3.14,880.0,141.77,198.3,5666.0,4.362,0.967,1
0,1,1,1,1.612249049,131.85204,1.171,4.235,154.0,50.98,2713.0,12788.25,45.4,6732.0,3.793,2.569,0
0,0,0,0,7.256962446,134.023923,0.676,4.9402,463.2,3.53,1163.0,432.1,168.3,5858.0,4.112,1.549,1
